SOA Code,SOA Name,2015 Default Urban/Rural,Urban,mixed urban/rural,Rural,20 minutes   (Yes / No),30 minutes  (Yes / No),BELFAST,DERRY,ANTRIM,ARMAGH,BALLYMENA,BALLYMONEY,BANBRIDGE,BANGOR,CARRICKFERGUS,COLERAINE,COOKSTOWN,CRAIGAVON,DOWNPATRICK,DUNGANNON,ENNISKILLEN,HOLYWOOD,LARNE,LIMAVADY,LISBURN,LURGAN,NEWRY,NEWTOWNARDS,OMAGH,PORTADOWN,STRABANE
95WW20S1,Mallusk_1,Mixed urban/rural,1,2,2,Y,Y,0-20min,>60min,0-20min,>30min,20-30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min
95WW20S2,Mallusk_2,Urban,3,1,-,Y,Y,0-20min,>60min,0-20min,>30min,20-30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min
95WW20S3,Mallusk_3,Urban,3,-,-,Y,Y,0-20min,>60min,0-20min,>30min,20-30min,>30min,>30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min
95WW21S1,Monkstown_1,Urban,6,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min
95WW21S2,Monkstown_2,Urban,4,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,20-30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95WW22S1,Mossley_1,Urban,4,-,-,Y,Y,0-20min,>60min,0-20min,>30min,20-30min,>30min,>30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min
95WW22S2,Mossley_2,Urban,5,-,-,Y,Y,0-20min,>60min,0-20min,>30min,20-30min,>30min,>30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min
95WW23S1,Rostulla_1,Urban,4,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95WW23S2,Rostulla_2,Urban,4,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95WW24S1,Valley_1,Urban,4,-,-,Y,Y,0-20min,>60min,20-30min,>30min,20-30min,>30min,>30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,20-30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95WW24S2,Valley_2,Urban,5,-,-,Y,Y,0-20min,>60min,20-30min,>30min,20-30min,>30min,>30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95WW25W1,Whitehouse,Urban,9,-,-,Y,Y,0-20min,>60min,20-30min,>30min,>30min,>30min,>30min,20-30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,>30min
95XX01S1,Ballycrochan_1,Urban,4,-,-,Y,Y,20-30min,>60min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min
95XX01S2,Ballycrochan_2,Urban,4,-,-,Y,Y,20-30min,>60min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min
