dz11_code,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Housing_rank,Access_rank,Crime_rank,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Access_decile,Housing_decile,Crime_decile
S01003164,2728,2837,2432,2438,3413,619,4215,1552,5,5,4,4,6,7,1,3
S01003165,1845,1800,1975,1675,1581,169,5862,1928,3,3,4,3,3,10,1,3
S01003166,3841,3578,3844,4520,3338,114,6177,1188,6,6,6,7,6,10,1,2
S01003167,452,387,776,653,282,47,4381,748,1,1,2,2,1,7,1,2
S01003168,4652,3960,4580,4495,3514,271,6200,4395,8,7,8,7,6,10,1,7
S01003169,3499,4000,2891,2053,3608,3282,4190,3814,6,7,5,4,6,7,6,6
S01003170,4136,3482,3986,4015,4515,3186,2757,3447,7,6,7,7,7,5,5,6
S01003171,4744,4769,5547,4679,5203,5855,939,1991,8,8,9,8,8,2,9,4
S01003172,2187,2162,3558,5093,454,113,5658,563,4,4,6,8,1,9,1,1
S01003173,3098,3255,2901,3853,3008,263,5587,592,5,6,5,6,5,9,1,1
S01003174,2226,1993,2589,3211,1165,140,6428,1889,4,4,4,5,2,10,1,3
S01003175,695,458,521,1112,1223,568,6362,2018,2,1,1,2,2,10,1,4
S01003176,2070,2712,2364,1153,3188,138,5786,145,4,5,4,2,5,9,1,1
S01003177,4355,3820,4298,2594,5619,1963,4411,2972,7,6,7,4,9,7,4,5
S01003178,1273,1682,1440,1284,634,399,2040,3810,2,3,3,2,1,4,1,6
S01003179,2641,3069,4057,2708,912,11,6243,937,5,5,7,5,2,10,1,2
S01003180,4507,4963,4053,3806,3350,1556,2830,6012,7,8,7,6,6,5,3,10
S01003181,439,614,675,126,547,75,2656,2194,1,1,2,1,1,5,1,4
S01003182,293,252,599,245,204,116,4299,2513,1,1,1,1,1,7,1,4
S01003183,2283,3079,3376,4498,258,35,6307,1382,4,5,6,7,1,10,1,3
S01003184,105,98,241,122,89,125,3275,1631,1,1,1,1,1,6,1,3
S01003185,427,476,837,170,256,76,5760,1788,1,1,2,1,1,9,1,3
S01003186,4770,4220,5296,4985,3378,3105,3384,2139,8,7,9,8,6,6,5,4
S01003187,3234,2897,2840,4203,3951,598,5397,896,5,5,5,7,7,9,1,2
S01003188,1170,1301,1645,1409,414,52,6474,839,2,2,3,3,1,10,1,2
