soa_code,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Access_rank,Environment_rank,Crime_rank,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Access_decile,Environment_decile,Crime_decile
95BB09S2,812,764,794,751,817,486,445,707,10,9,9,9,10,6,5,8
95BB10S1,433,424,536,570,437,371,89,107,5,5,7,7,5,5,1,2
95BB10S2,759,760,776,824,800,207,604,847,9,9,9,10,9,3,7,10
95BB11S1,257,256,335,410,98,294,301,435,3,3,4,5,2,4,4,5
95BB11S2,523,555,516,405,484,295,259,677,6,7,6,5,6,4,3,8
95BB12S1,161,145,227,300,72,740,34,172,2,2,3,4,1,9,1,2
95BB12S2,690,616,728,813,540,317,607,407,8,7,9,10,7,4,7,5
95BB13S1,607,431,642,664,482,361,636,574,7,5,8,8,6,5,8,7
95BB13S2,335,352,269,375,214,649,194,508,4,4,4,5,3,8,3,6
95BB13S3,740,784,604,764,535,494,762,649,9,9,7,9,7,6,9,8
95BB14S1,719,788,821,846,843,101,257,866,9,9,10,10,10,2,3,10
95BB14S2,727,837,833,863,801,64,757,624,9,10,10,10,9,1,9,8
95BB15S1,548,639,488,661,615,92,313,779,7,8,6,8,7,2,4,9
95BB15S2,343,305,390,312,335,251,446,329,4,4,5,4,4,3,6,4
95BB16S1,827,875,818,850,822,253,637,756,10,10,10,10,10,3,8,9
95BB16S2,850,855,854,853,833,258,812,849,10,10,10,10,10,3,10,10
95BB17S1,639,636,699,592,355,412,470,603,8,8,8,7,4,5,6,7
95BB17S2,513,435,530,613,395,248,526,564,6,5,6,7,5,3,6,7
95BB18S1,226,231,287,189,168,252,438,363,3,3,4,3,2,3,5,5
95BB18S2,726,765,725,732,603,234,658,752,9,9,9,9,7,3,8,9
95BB19S1,678,751,635,573,511,553,370,379,8,9,8,7,6,7,5,5
95BB19S2,837,852,815,832,725,332,840,820,10,10,10,10,9,4,10,10
95BB19S3,832,838,770,723,716,444,847,859,10,10,9,9,9,5,10,10
95BB20S1,444,499,398,488,420,173,357,613,5,6,5,6,5,2,5,7
95BB20S2,159,175,119,135,249,254,423,360,2,2,2,2,3,3,5,5
95BB21S1,253,399,294,242,145,90,531,713,3,5,4,3,2,2,6,9
95BB21S2,479,587,436,569,456,87,679,696,6,7,5,7,6,1,8,8
95BB22S1,207,315,232,294,82,391,147,181,3,4,3,4,1,5,2,3
95BB22S2,150,171,165,225,80,548,68,245,2,2,2,3,1,7,1,3
95BB23S1,810,836,698,812,749,592,613,422,10,10,8,10,9,7,7,5
95BB23S2,825,856,774,820,739,333,837,701,10,10,9,10,9,4,10,8
95CC01W1,337,346,253,279,317,476,436,477,4,4,3,4,4,6,5,6
95CC02W1,442,447,430,417,611,102,579,616,5,6,5,5,7,2,7,7
95CC03W1,106,90,195,70,114,459,241,93,2,2,3,1,2,6,3,2
95CC04W1,369,404,340,399,422,117,308,692,5,5,4,5,5,2,4,8
95CC05W1,488,448,454,469,652,127,773,750,6,6,6,6,8,2,9,9
95CC06S1,714,652,692,702,721,415,845,240,9,8,8,8,9,5,10,3
95CC06S2,583,478,493,428,640,514,619,511,7,6,6,5,8,6,7,6
