lsoa_code,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Housing_decile,Access_decile,Environment_decile,Crime_decile,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Housing_rank,Access_rank,Environment_rank,Crime_rank,IMD_score,Income_score,Employment_score,Education_score,Health_score,Crime_score,Housing_score,Access_score,Environment_score
W01000102,9,9,9,7,10,7,5,10,3,1633,1632,1700,1224,1793,1156,920,1865,529,6.990899848,3.569230282,2.643670543,1.435270485,10.0750003,28.79523213,11.36362311,16.49584531,0.541479975
W01000103,6,6,6,7,8,5,2,10,6,1109,1013,1145,1209,1370,883,198,1774,988,15.33458838,14.33477698,11.5790325,7.53042581,10.3531137,14.89604529,17.41545457,49.78587499,1.677040931
W01000104,6,4,5,5,8,5,9,10,5,1090,697,796,867,1409,860,1656,1886,794,15.56159295,22.69392407,19.73468721,6.895797894,17.82480166,19.79085218,18.00620772,3.238292557,0.287202127
W01000105,6,7,7,6,4,2,9,4,6,1141,1157,1245,1119,701,269,1705,673,979,14.82624449,11.3441401,9.691206146,22.56667903,12.09634805,15.10150238,43.40389422,2.57706238,23.47254186
W01000106,9,9,9,9,9,8,6,9,3,1661,1535,1662,1623,1615,1372,967,1654,559,6.477089645,4.957506903,3.15629683,3.806559326,3.694569954,27.58019578,7.49745128,15.37833169,3.265689555
W01000107,6,6,7,8,7,4,1,5,7,1082,1135,1278,1471,1247,588,144,895,1212,15.67551454,11.77662545,9.100749472,9.654986131,5.921619417,10.29722134,26.46368906,56.19574015,17.11315551
W01000108,6,5,6,6,6,4,8,7,3,1078,859,962,1070,1062,710,1350,1186,450,15.70216334,18.03224006,15.4946679,13.27289958,13.10409401,32.34058471,22.28292578,7.862797619,10.7861948
W01000109,6,4,5,6,6,5,7,5,6,1042,722,880,1139,1044,868,1174,806,1028,16.35547573,21.90995285,17.49165426,13.65730382,11.69738445,14.00447488,17.79900292,11.01542947,19.45590143
W01000110,7,6,6,6,6,9,3,10,7,1204,973,1046,1036,1039,1716,551,1807,1160,13.93670648,15.23950055,13.61427359,13.76523291,13.83023431,11.28578993,2.431199901,27.89798118,1.25873611
W01000111,4,4,4,5,4,3,3,10,1,650,761,756,816,713,398,532,1742,59,24.1836371,20.73794113,20.88490343,22.189114,19.18045442,72.41129127,35.01313336,28.67079905,2.090067329
W01000112,3,4,5,6,5,1,1,7,5,569,610,775,1039,818,127,117,1334,859,26.29477539,25.65142688,20.33137326,19.12575866,13.76523291,18.03224006,58.64922406,60.22500665,8.13219719
W01000113,5,5,6,5,5,5,2,9,5,862,814,973,942,798,831,236,1647,942,19.63009201,19.23528055,15.23950055,19.67865907,15.96598799,15.96598799,18.77337198,46.15202422,3.361836862
W01000114,6,7,8,8,6,2,1,10,8,1119,1197,1421,1505,1008,298,174,1746,1410,15.20907451,10.57805138,6.703999096,14.44594026,5.404407434,6.87975343,41.23329398,52.41710826,2.038031588
W01000115,7,7,7,9,9,2,2,7,5,1187,1234,1267,1546,1611,367,220,1329,825,14.17401483,9.891442261,9.295888951,3.86275916,4.795794916,18.93534138,36.76791123,47.61273794,8.217035808
W01000116,8,7,8,7,8,8,3,9,8,1410,1263,1399,1233,1339,1383,395,1595,1382,10.82745893,9.367261263,7.056861139,8.047670361,9.909732283,7.333284043,7.316931583,35.17721806,4.088941875
