dz11_code,Total_population,Working_age_population,Income_rate,Income_count,Employment_rate,Employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,no_qualifications,not_participating,University,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,Broadband,crime_count,crime_rate,overcrowded_count,nocentralheat_count,overcrowded_rate,nocentralheat_rate
S01009139,421,313,0.2,86,0.19,59,130,102.2016348,250.4717635,127.5952174,0.251815981,0.153846154,105.8955984,0.77049000000000012,*,122.9768641,0.03125,0.037037,1.896434729,0.69604064,3.077062808,3.659121622,1.946570197,5.87852459,2.52887931,10.62780788,7.554852217,0,21.507371007371006,510.86391941498823,51,12,0.125615764,0.02955665
S01009140,677,479,0.17,114,0.17,79,140,187.8144739,115.5313642,85.36412058,0.281626506,0,115.139369,0.81147999999999998,5.6,111.4063037,0.057971014,0.039604,1.495857143,1.155603571,3.974260714,3.894745763,2.18665,6.267101449,3.982471429,11.20664286,7.138271429,0,154.64823914823913,2284.3166787036798,87,3,0.124285714,0.004285714
S01009141,872,566,0.26,231,0.21,118,165,387.6397327,589.2970098,116.8809712,0.254107338,0.119047619,129.9376788,0.78312999999999999,5.8636363636000004,120.4181043,0.076923077,0.061404,2.897050971,1.771383495,4.419842233,3.635424837,2.6809375,6.08838843,6.943743932,14.24614078,10.04256068,0,67.594594594594582,775.16736920406629,73,22,0.093589744,0.028205128
S01009142,579,397,0.21,122,0.21,81,140,126.8699218,224.2801863,109.1267073,0.218032787,0.093023256,127.9687534,0.65217000000000003,5.4444444444000002,131.8883458,0.090909091,0.029126,1.7394,1.713695833,2.311725,3.653163265,2.1583875,5.951630435,5.271525,7.717125,7.475008333,0.001904762,91.150286650286645,1574.2709266025329,87,47,0.145,0.078333333
S01009143,542,346,0.27,149,0.24,81,195,413.838141,284.9916524,135.4369591,0.317757009,0.066666667,185.0558377,0.67044999999999999,4.5,151.0191699,0,0.068493,3.080791667,1.182104167,3.947066667,3.803353659,2.671779167,6.317086614,3.589833333,11.84114167,8.913358333,0,30.72481572481572,566.87851890803915,111,1,0.185,0.001666667
S01009144,704,543,0.02,17,0.02,9,35,31.71570626,42.85507627,209.781108,0.125,0.025641026,76.04110445,0.83823999999999999,5.8181818182000002,65.21799091,0.069444444,0.090909,3.490692365,2.06184506,4.770636228,3.666407407,2.14875,6.779810127,7.873488024,14.22013473,9.818270958,0.070093458,21.507371007371006,305.50242908197453,32,5,0.047904192,0.00748503
S01009145,978,580,0.12,119,0.11,64,115,30.46259977,76.63764888,91.23415939,0.244712991,0.035714286,94.32914157,0.82162000000000002,5.8709677419000004,126.7058069,0.06557377,0.053892,2.962457386,1.701706913,3.747758049,3.144661458,1.54304214,6.77624,6.554261364,11.70629261,6.321027462,0,17.41072891072891,178.02381299313814,109,14,0.103219697,0.013257576
S01009146,918,624,0.17,152,0.11,71,125,78.83656736,190.2260985,89.15932564,0.241299304,0.090909091,123.8431157,0.74346000000000001,5.3181818182000002,154.7286169,0.051546392,0.076923,1.903792536,3.123773326,1.227170692,4.037838542,3.384684413,6.043159722,9.970093304,4.114335895,11.26661361,0,26.628173628173627,290.06725085156455,154,5,0.170353982,0.005530973
S01009147,834,520,0.22,185,0.19,96,170,65.0822814,118.3937272,77.88267271,0.205282113,0.03125,98.53262678,0.71831,5.0967741934999999,167.5384183,0.104347826,0.030303,1.439239784,3.534930889,1.430309495,3.983019802,3.156448317,5.724352941,10.18442308,4.691622596,10.25895433,0,25.604013104013102,307.00255520399401,95,4,0.114182692,0.004807692
S01009148,655,408,0.18,121,0.12,49,120,67.35110226,45.97468572,110.9194211,0.211567732,0.09375,137.4261038,0.63500000000000001,5.2692307692,165.0895564,0.017857143,0.03125,2.410363833,3.812539625,1.323613112,4.69283237,3.896386888,6.315709877,12.52121758,4.700677233,11.81837896,0.003773585,23.555692055692052,359.62888634644355,111,4,0.159942363,0.005763689
