lsoa_code,Education_decile,Children_and_young_people_decile,Adult_skills_decile,Housing_and_Access_decile,Geographical_barriers_decile,Wider_barriers_decile,Environment_decile,Indoors_decile,Outdoors_decile,Education_rank,Children_and_young_people_rank,Adult_skills_rank,Housing_and_Access_rank,Geographical_barriers_rank,Wider_barriers_rank,Environment_rank,Indoors_rank,Outdoors_rank
E01009815,9,9,8,7,3,10,10,9,9,27797,29494,24391,20883,7544,32263,30345,28141,26521
E01009816,7,8,6,7,3,10,7,5,8,20499,23222,16914,21652,8192,31464,20959,15999,24312
E01009817,8,6,9,10,6,10,6,6,6,23451,19145,26684,30788,17942,31454,19433,16871,17532
E01009818,5,6,4,8,5,7,6,4,9,14405,18088,11029,23518,14554,20316,18859,12597,28577
E01009819,7,7,7,6,3,9,4,2,8,22576,22113,21449,18953,7309,29133,10414,5934,25759
E01009820,5,5,4,10,10,9,5,4,6,14108,16012,11962,32675,30768,28081,16024,11961,19649
E01009821,8,7,9,9,5,10,7,6,8,25852,22861,27075,29185,14981,31374,22102,16966,25454
E01009822,7,8,7,10,10,9,8,7,7,22811,23723,20448,32727,30513,29037,25607,22453,22714
E01009823,7,8,6,6,3,10,8,7,7,20916,24681,16543,18738,6703,31213,23199,19823,21484
E01009824,3,2,3,10,8,6,2,1,8,7012,6397,7786,29763,25683,19455,4987,2883,23208
E01009825,5,6,4,9,7,8,4,3,5,15108,17036,12776,29340,20310,23556,12022,9071,16062
E01009826,9,9,8,8,3,10,9,8,9,26590,27975,23487,23701,9482,31333,27935,23823,26850
E01009827,9,9,8,6,2,10,9,7,9,27775,29085,24693,18546,6417,32068,26659,21969,26953
E01009828,3,5,3,10,9,8,5,4,8,9795,13903,6911,31816,28184,23577,16073,10625,25006
E01009829,7,6,8,10,7,10,7,5,9,21431,17729,24198,31638,20756,31072,21632,16096,26401
E01009830,8,8,7,9,4,10,7,6,7,24048,25386,21134,27069,12996,29743,22436,18822,21632
E01009831,2,4,1,9,7,6,6,4,7,4817,11563,1920,28437,22673,19352,16995,12265,22069
E01009832,1,1,1,10,10,6,7,5,9,2247,2069,2965,30850,30592,18629,20527,14566,27520
E01009833,1,1,1,9,9,5,5,4,6,2682,2696,3012,27498,26616,15125,15103,11287,18734
E01009834,3,3,2,7,4,7,3,2,6,7127,9307,5522,21743,11894,22026,9722,6318,19489
E01009835,3,6,2,9,7,7,3,2,6,9278,17771,4773,28800,22050,20610,6858,4496,18332
E01009836,1,1,1,8,9,4,5,4,5,1485,2269,1403,25115,27747,11988,13291,10884,14346
E01009837,2,2,2,9,8,6,2,2,4,6227,6513,6031,29200,24876,18966,5594,4442,12903
E01009838,2,2,2,8,6,7,4,2,7,3724,3610,4093,25682,16864,20669,10392,6459,21799
E01009839,2,2,2,9,7,7,1,1,3,3674,3904,3698,28618,20110,22188,1714,1758,9267
E01009840,2,2,1,9,6,6,1,1,2,3760,5311,2811,26367,19558,18782,1124,1583,6093
E01009841,1,2,1,8,6,6,2,2,5,1748,3570,1087,24894,18110,18134,5523,4041,15073
