ward_code,Children_and_young_people_Proportion,Children_and_young_people_Extent,Adult_skills_Proportion,Adult_skills_Extent,Geographical_barriers_Proportion,Geographical_barriers_Extent,Wider_barriers_Proportion,Wider_barriers_Extent,Indoors_Proportion,Indoors_Extent,Outdoors_Proportion,Outdoors_Extent
E05000275,0,0.09306778824097968,0,0.09217652888625848,0,0,1,1,0,0.10337225224215639,1,1
E05000276,0,0.09017772487946579,0.625,0.848801046310679,0,0,1,1,0,0.013118052893829049,1,1
E05000277,0,0,0,0,0,0,1,1,0,0.03333561002588766,1,1
E05000278,0,0.06559179993184702,0.2222222222222222,0.4868383357408016,0,0,1,1,0,0,1,1
E05000279,0,0,0,0,0,0,0.8571428571428571,0.9850371599904898,0,0.04512010954272076,1,1
E05000280,0,0.2432847611169123,0,0.15860721599153765,0,0,1,1,0,0.06029136549180215,1,1
E05000281,0,0.05230431644457841,0,0.44019777786151776,0,0,1,1,0,0.012478730836012206,1,1
E05000282,0,0.08394853541836853,0.25,0.22192009958377093,0,0,1,1,0,0,1,1
E05000283,0,0.023062732045536646,0.25,0.7823491655969191,0,0,1,1,0,0.09604648213201324,1,1
E05000284,0,0.09451434465905978,0,0.05394770225067934,0,0,1,1,0,0,1,1
E05000285,0,0,0,0,0,0.029420163693560486,0.16666666666666666,0.7445634301032181,0,0,0,0.4697869312293598
E05000286,0,0,0,0,0,0.18518941322471835,0.42857142857142855,0.8902767612804684,0,0,0,0.2410297206135047
E05000287,0,0,0,0.06473569830887585,0,0,1,1,0,0,0,0.548390212491951
E05000288,0,0,0,0,0,0.0121245058492951,1,1,0,0.02633692422888334,0,0.6940931378469118
E05000289,0,0,0,0,0,0,0.5714285714285714,0.8896732058542871,0,0,0,0.6676632421647478
