msoa_code,Score,Proportion,Extent,Income_Score,Income_Proportion,Income_Extent,Employment_Score,Employment_Proportion,Employment_Extent,Education_Score,Education_Proportion,Education_Extent,Health_Score,Health_Proportion,Health_Extent,Crime_Score,Crime_Proportion,Crime_Extent,Housing_Score,Housing_Proportion,Housing_Extent,Access_Score,Access_Proportion,Access_Extent,Environment_Score,Environment_Proportion,Environment_Extent
W02000201,26.06573068574468,0,0.23147696368581025,25.853032108031915,0,0.1393477043673012,27.21766572729483,0,0.17604583266677326,31.185406789430093,0,0.4118800991841305,28.21197548286474,0,0.18092105263157893,10.42984043631079,0,0,17.155557713541032,0,0.01884498480243159,16.114961941079027,0,0.07005879059350503,49.17093264773557,0.3333333333333333,0.8684870420732682
W02000202,17.91724862936843,0,0,18.53255782912856,0,0.050529955890540004,20.344658116886247,0,0.04218555950494625,17.58519742594451,0,0.03384116311935248,18.86673561025289,0,0,15.992897495014565,0.14285714285714285,0.15991049633848656,12.676364422896826,0,0,17.204370917374778,0,0,13.297913280937102,0,0
W02000203,22.072295946279617,0,0.012840011699327272,20.992425728566833,0,0.012840011699327272,23.264503359093304,0,0.07366111974877232,22.89403743310032,0,0.020134388325302868,26.54229633729453,0,0.1344822277982174,5.36674019212489,0,0,15.207333622432875,0,0.04447668601160696,24.91342622241708,0,0.2334839365157556,26.50137742067271,0,0.11965948800049257
W02000204,7.756990145870616,0,0,6.25475163868214,0,0,10.30415115806808,0,0,6.426378935991748,0,0,6.676000041463307,0,0,1.146447956404804,0,0,2.8220353077043914,0,0,12.666110354325669,0,0.05566801619433198,13.829251352026082,0,0
W02000205,23.1252321023894,0,0.2324206027890238,21.914263907208376,0,0.1963963112910481,28.98847101390769,0,0.42591857849752585,21.520690847238974,0,0.08669005847953214,26.53110426846188,0,0.3257080521817364,6.766360636667008,0,0,12.5518128340547,0,0.05244309491677911,25.080576430186326,0,0.10698020692757532,24.18130979726325,0,0.1558924876293297
W02000206,43.87064564949125,0.6,0.7695865159148422,47.261761257628294,0.8,0.806646081458609,63.436422268634026,0.6,0.806646081458609,40.90151139828554,0.4,0.7066321516185701,43.59965526178356,0.4,0.7091255929855517,40.54132391473754,0.2,0.5339249645949898,26.258694395851347,0,0.23390910005494542,17.075212948384795,0,0.018783615412594115,33.563785768059994,0.2,0.47676077047493015
W02000207,10.423214653459084,0,0,7.8566132155428745,0,0,11.853122878213783,0,0,10.535726824222003,0,0,13.458819609360024,0,0,3.557049447635669,0,0,4.608392385954777,0,0,15.754595354081639,0,0,10.346970800440682,0,0
W02000208,20.425426713801283,0,0.14502289377289376,17.96109591094725,0,0.16491951031424715,18.788506967971152,0,0.14153966647387697,22.738241884240843,0.16666666666666666,0.15265567765567767,21.691981675957877,0,0.14787642182379024,13.13072572942729,0,0.02031882591093117,20.997281065144687,0,0.2203860613071139,26.263886392968043,0,0.40397869674185455,23.012567312602563,0.16666666666666666,0.15486215538847117
W02000209,45.333321003093936,0.25,0.7868482850963023,47.83194356923092,0.25,0.6696971881759192,54.01016548724266,0.25,0.7294685343495725,56.42195471654795,0.5,0.8521495519620971,62.92092316501957,0.75,0.8605783293851066,13.64855826880313,0,0,21.516779254732683,0,0.17765320836337417,22.28597304018591,0,0,23.472902251481408,0,0.18572407045009784
W02000210,31.894841191290762,0,0.6591716094422313,36.8319285707423,0.25,0.6865547191199597,42.714718639940244,0.25,0.7615652965266192,40.93985766553557,0.5,0.7381277591065485,24.84173021677294,0,0.2680075359033105,19.031431504890033,0,0.04624162788284223,12.373278320189595,0,0,24.228661800692556,0,0.23669681560187436,13.923439274785379,0,0.11803348048568256
