msoa_code,Score,Proportion,Extent,Income_Score,Income_Proportion,Income_Extent,Employment_Score,Employment_Proportion,Employment_Extent,Education_Score,Education_Proportion,Education_Extent,Health_Score,Health_Proportion,Health_Extent,Crime_Score,Crime_Proportion,Crime_Extent,Housing_and_Access_Score,Housing_and_Access_Proportion,Housing_and_Access_Extent,Environment_Score,Environment_Proportion,Environment_Extent
E02005830,16.626844532935124,0,0,0.09916309938609591,0,0,0.09117388418782146,0,0.02814265629229868,29.487149991704,0,0.2679355182381039,0.19960129417620703,0,0.02814265629229868,-0.35578845196615233,0,0,12.377064376970303,0,0,7.688426580388253,0,0
E02005831,18.85012923750913,0,0.029372011440931513,0.11541702305204965,0,0.029372011440931513,0.09327725044330865,0,0.057950184734810825,20.820445603421298,0,0.08708997381322293,0.3366280379680818,0,0.14732944283102664,0.13734369458641907,0,0.3099248982997809,19.072964326692396,0,0.013101623360581485,6.5965028684677165,0,0
E02005832,26.595733923884517,0,0.16691013952203343,0.16099343832020999,0,0.1781306119629783,0.12951509186351706,0,0.2739397706865589,33.48153707349081,0,0.37708765022793195,0.4391597769028871,0,0.28651574803149604,0.5595557742782151,0,0.2751545448266335,11.863931430446195,0,0,21.05449967191601,0,0.08190789473684208
E02005833,12.371950085156557,0,0,0.0711645486702476,0,0,0.0677829162845539,0,0,23.67198703000131,0,0.12045791473311866,-0.05316638281147649,0,0,-0.49506157474125506,0,0,13.589148041399188,0,0,10.297261627145291,0,0
E02005834,36.78541378841447,0.4,0.6193120822180553,0.20479711721512106,0.4,0.5586669624837182,0.18524816426434595,0.6,0.7191367390464194,56.00371960837639,0.6,0.7233560683051115,0.7539483274408485,0,0.5739572448935775,0.20189515909709002,0.2,0.2262714169159641,21.79293527332064,0,0.11833159182972387,8.744581044329616,0,0
E02005835,26.062309554519295,0,0.2814523161758946,0.1459299533683897,0,0.18473219460994977,0.12210139894830838,0,0.31793149905222423,34.16649240996131,0.16666666666666666,0.5226651557955311,0.5090290703442801,0,0.33201941504221905,0.6579236035320964,0.16666666666666666,0.34759348515151356,20.38251870225221,0,0.05955190834512613,9.388988788570295,0,0
E02005836,12.341834890623282,0,0,0.07026404309112895,0,0,0.07378069693305485,0,0.02858837210647813,12.38288578652303,0,0,-0.28045575464438827,0,0.011623843603732864,-0.7720638672089699,0,0,23.35901319116192,0,0.13158241872682142,18.075134659777948,0,0
E02005837,17.14646372647608,0,0,0.07485907197241776,0,0,0.07157908346501939,0,0,14.822647751759805,0,0,-0.09462002585835366,0,0.015313891682229543,0.1988485849734234,0,0.24744024981286716,32.02446516305128,0.3333333333333333,0.490581737348687,23.007074270938084,0,0.1505413620245125
E02005838,27.259879438682123,0.16666666666666666,0.2987453838990399,0.16089774252593045,0.16666666666666666,0.2685790437044411,0.1413666870042709,0.16666666666666666,0.3673587874506278,35.36059914582062,0.3333333333333333,0.4628737034777303,0.7227164124466138,0.3333333333333333,0.48375453582094347,0.19010213544844418,0,0.1861176583924729,11.48074215985357,0,0,9.734850030506406,0,0
E02005839,19.948796793965112,0,0.11385766396188489,0.12223070878516423,0,0.11385766396188489,0.11283309759547383,0,0.21576341844710784,32.41505752003772,0,0.3388946789415783,0.39544821625019644,0,0.21189400894976712,-0.3353551783749803,0,0,11.74174493163602,0,0,5.726536539368223,0,0
E02005840,14.373268427919113,0,0,0.07734822787562513,0,0,0.07423983474668407,0,0,14.90275962165688,0,0,0.3614780387040661,0,0.09798440164337785,-0.26055055446836267,0,0,19.410136877582083,0,0,11.061540987171124,0,0
E02005842,22.69800828252617,0,0.2596211712993515,0.13414782008512596,0,0.23554190607082526,0.12326331531116991,0.16666666666666666,0.31837322225384007,30.232149430576328,0.16666666666666666,0.28413151537534737,0.3393319912573335,0,0.23554190607082526,-0.2553622454848729,0,0.1631236869350415,19.06709317841942,0,0,12.08403934199931,0,0
E02005843,21.042152693704598,0.25,0.2677022269657194,0.12312999394673124,0,0.27335486491652855,0.1086826573849879,0.25,0.29486308461832544,23.524840647699758,0,0.35483743787434685,0.48017251815980627,0.25,0.34013118070600223,-0.36137484866828085,0,0.04785188607110997,20.876240920096855,0,0.040893414680769694,8.8867776937046,0,0
E02005844,22.226976166832173,0,0.10723030889039877,0.12351204071499504,0,0.09263282025819265,0.10662214498510426,0,0.1910377358490566,28.08887028301887,0,0.3315965870485548,0.37876576464746775,0,0.19595920660638683,0.37578078450844093,0,0.1682861417446297,18.85880325223436,0,0,16.593014647467726,0,0.15710846443317827
E02005846,51.59597613435474,0.75,0.962982662903576,0.2676113730111962,0.5,0.815556089693887,0.21444637595757216,0.75,0.9538551003318549,66.03957690041248,0.75,0.917344850044971,1.5779736299351796,0.75,0.9812377880470179,1.1536253682969946,0.75,0.8095233849207579,16.788333087802005,0,0,25.868870506776663,0,0.18305833824395992
E02005847,21.80256631086416,0,0.251887395048522,0.11777599064190672,0,0.1546709660538244,0.12255622166983478,0,0.3843028759206101,27.09591299897646,0.25,0.29192864453867523,0.3927701418336014,0,0.34697054817186257,0.33074338353560456,0,0.2331450427501712,14.550713700833455,0,0,10.463510893405468,0,0
E02005848,21.197498408849825,0,0.1450770052878825,0.09578072435217458,0,0.011713896044855265,0.09851629034702228,0,0.1226876480487474,27.045582512501895,0.2,0.28750528389468893,0.40078239127140475,0,0.24968376388767033,0.039973632368540714,0,0.12610563003963918,24.330077132898925,0.2,0.24200437067817293,18.209625700863768,0.2,0.27900758488128186
E02005849,21.329524940360006,0,0.12737190243011562,0.08408761656907396,0,0.007823682498373445,0.10374062025590979,0.16666666666666666,0.31034168863929507,17.131531229668184,0,0.06711896038078279,0.18825807850791584,0,0.10432974922667759,-0.4331022554760356,0,0,33.68966612448493,0.5,0.6034342932803708,32.827974409021905,0,0.41803981326119455
E02005850,16.39074413922048,0,0,0.1003325183374083,0,0,0.09997123543794047,0,0.04732300332306388,21.20483618581907,0,0.09142816050625627,0.08127283187113475,0,0.13163571953038067,-0.3528925643607076,0,0,14.042992665036675,0,0,12.315110599741118,0,0
E02005851,37.164161616161614,0,0.6658809841294742,0.2452013578407021,0.25,0.7232288371201226,0.19372362974002316,0.75,0.8873689439694616,44.52221526742838,0.5,0.699484491158348,0.7827115416459679,0,0.6284270661751248,0.6625674780592813,0.25,0.45484003102639853,6.344285643318431,0,0,12.33357840702103,0,0
