lad_code,Score,Proportion,Extent,Income_Score,Income_Proportion,Employment_Score,Employment_Proportion,Education_Score,Education_Proportion,Health_Score,Health_Proportion,Crime_Score,Crime_Proportion,Housing_and_Access_Score,Housing_and_Access_Proportion,Environment_Score,Environment_Proportion
E06000037,9.952,0,0.0077,0.064,0,0.053,0,13.476,0.0103,-0.888,0,-0.665,0,21.001,0.0928,15.225,0.0412
E06000038,19.619,0.0515,0.1243,0.114,0.0309,0.074,0.0103,20.993,0.0928,-0.034,0.0103,0.092,0.0619,27.441,0.0928,22.108,0.0619
E06000039,22.965,0,0.1122,0.126,0,0.08,0,19.963,0,0.147,0.0125,0.412,0.0875,36.28,0.5125,22.387,0
E06000040,8.376,0,5e-4,0.058,0,0.046,0,9.133,0,-1.033,0,-0.478,0,18.834,0.0225,14.079,0.0112
E06000041,5.846,0,0,0.044,0,0.038,0,6.223,0,-1.545,0,-0.981,0,22.581,0.0303,6.522,0
E06000042,17.98,0.0526,0.1183,0.111,0.0526,0.078,0.0526,19.205,0.0592,-0.158,0.0263,-0.137,0.0197,30.625,0.1842,10.265,0.0066
E06000043,20.761,0.0909,0.1682,0.123,0.0909,0.094,0.0909,18.639,0.0909,0.097,0.103,-0.066,0.0667,23.287,0.0364,24.849,0.0848
E06000044,26.899,0.12,0.2473,0.134,0.096,0.09,0.08,27.706,0.168,0.27,0.104,0.652,0.264,21.275,0.016,43.313,0.496
E06000045,26.876,0.1284,0.2836,0.135,0.0878,0.093,0.0811,26.939,0.1622,0.541,0.1554,0.881,0.3986,19.667,0.0068,32.666,0.1351
E06000046,23.294,0.0337,0.1654,0.138,0.0337,0.124,0.0674,26.09,0.0562,0.084,0,-0.2,0.0112,18.731,0.0449,28.693,0.191
E06000047,26.793,0.1204,0.3043,0.165,0.1265,0.143,0.2469,24.986,0.0926,0.71,0.2531,0.26,0.1451,14.094,0.0093,5.681,0.0123
E06000049,14.475,0.0171,0.0852,0.083,0.0085,0.075,0.0214,14.428,0.0385,-0.186,0.0385,-0.382,0.0385,19.367,0.0726,17.689,0.0812
E06000050,18.083,0.0755,0.1578,0.108,0.0802,0.095,0.0991,18.227,0.1085,0.089,0.1038,-0.284,0.0283,16.288,0.0377,18.849,0.033
E06000051,17.153,0.0104,0.0426,0.096,0.0155,0.078,0.0104,17.851,0.057,-0.348,0,-0.576,0,25.498,0.2435,28.49,0.2383
E06000052,23.072,0.0521,0.1323,0.13,0.0491,0.108,0.0675,19.031,0.0337,0.054,0.0337,-0.713,0.0061,24.726,0.1534,39.931,0.4816
E06000053,12.005,0,0,0.029,0,0.019,0,9.671,0,-2.625,0,-0.778,0,20.576,0,66.667,1
E06000054,13.447,0.0035,0.0288,0.078,0.0035,0.065,0.007,16.99,0.0456,-0.587,0,-0.532,0.007,24.622,0.1404,17.66,0.0596
E06000055,18.932,0.0388,0.1328,0.114,0.0388,0.09,0.0388,19.05,0.0194,-0.119,0.068,-0.116,0.0388,24.837,0.1359,19.761,0.0194
E06000056,12.152,0,0.0297,0.077,0,0.059,0.0064,17.131,0.0382,-0.712,0,-0.235,0.051,20.636,0.0701,14.341,0.0064
E06000057,22.079,0.1168,0.205,0.126,0.1066,0.118,0.1624,22.596,0.132,0.189,0.0863,-0.139,0.132,21.846,0.1421,10.01,0.0711
E06000058,18.173,0.0386,0.1126,0.112,0.0343,0.091,0.0386,19.384,0.0558,-0.039,0.0343,-0.108,0.0515,21.138,0.0215,17.888,0.03
E06000059,15.735,0.0274,0.05,0.088,0.0137,0.08,0.032,18.456,0.032,-0.346,0.0411,-0.719,0.0091,25.219,0.1872,18.651,0.1416
E07000004,11.183,0,0.0147,0.067,0,0.054,0,15.266,0.0609,-0.838,0,-0.567,0,25.401,0.1391,11.992,0.0174
E07000005,6.952,0,0,0.053,0,0.046,0,5.974,0,-1.563,0,-0.761,0,22.589,0.0702,6.788,0
E07000006,9.481,0,0,0.057,0,0.043,0,8.666,0,-1.306,0,-0.107,0,26.06,0.225,13.254,0
E07000007,10.742,0,0.0064,0.076,0,0.059,0,13.985,0.0093,-1.037,0,-0.662,0,23.64,0.0748,10.375,0.0093
E07000008,14.855,0,0.0464,0.077,0,0.055,0,10.254,0.0145,-0.505,0.0145,0.151,0.058,23.484,0.087,28.653,0.087
E07000009,11.507,0,0,0.07,0,0.055,0,16.407,0.02,-0.957,0,-0.743,0,27.872,0.2,14.671,0
